feature_bits,router_lambda,delta_mult,avg_step_ms,avg_frac_full,peak_mem_gb,total_time_s
8,0.0,0.5,4.452646470069885,0.0,0.01784372329711914,0.045008580999933656
8,0.0,1.0,3.3449888706207274,0.0,0.01786661148071289,0.033857156000067334
8,0.0,1.5,3.4091711759567263,0.0,0.018396377563476562,0.03448748499999965
8,0.001,0.5,3.200438380241394,0.0,0.017855167388916016,0.03240298899993377
8,0.001,1.0,3.136915183067322,0.0,0.01786661148071289,0.03178533600009814
8,0.001,1.5,3.187382423877716,0.0,0.018396377563476562,0.032264222999970116
8,0.01,0.5,3.1469568014144897,0.0,0.017855167388916016,0.031854748000000654
8,0.01,1.0,3.168569576740265,0.0,0.01786661148071289,0.03207503099997666
8,0.01,1.5,3.1730016112327575,0.0,0.018396377563476562,0.032115438999994694
6,0.0,0.5,3.1388895750045775,0.0,0.017855167388916016,0.03177927399997316
6,0.0,1.0,3.165769612789154,0.0,0.01786661148071289,0.03206100400007017
6,0.0,1.5,3.1483776211738586,0.0,0.018396377563476562,0.031887280999967516
6,0.001,0.5,3.1798751950263977,0.0,0.017855167388916016,0.0321860829999423
6,0.001,1.0,3.155433547496796,0.0,0.01786661148071289,0.03193982200002665
6,0.001,1.5,3.184640038013458,0.0,0.018396377563476562,0.032249866000029215
6,0.01,0.5,3.142723190784454,0.0,0.017855167388916016,0.031814019999956145
6,0.01,1.0,3.1721887826919555,0.0,0.01786661148071289,0.03210760299998583
6,0.01,1.5,3.139993631839752,0.0,0.018396377563476562,0.0317882900000086
4,0.0,0.5,3.1827711939811705,0.0,0.017855167388916016,0.032210681000037766
4,0.0,1.0,3.1401472091674805,0.0,0.01786661148071289,0.031809301000066625
4,0.0,1.5,3.188518393039703,0.0,0.018396377563476562,0.032271828000034475
4,0.001,0.5,3.2291936039924622,0.0,0.017855167388916016,0.032699899000022015
4,0.001,1.0,3.2542752027511597,0.0,0.01786661148071289,0.03296410500001912
4,0.001,1.5,3.1498432040214537,0.0,0.018396377563476562,0.03190280100000109
4,0.01,0.5,3.183529591560364,0.0,0.017855167388916016,0.032229787999995096
4,0.01,1.0,3.192406380176544,0.0,0.01786661148071289,0.032307405999972616
4,0.01,1.5,3.174889600276947,0.0,0.018396377563476562,0.03213877299992873
